Date/Time,Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),AHU1 LIGHTS:Lights Electric Power [W](Hourly),AHU2 LIGHTS:Lights Electric Power [W](Hourly),AHU3 LIGHTS:Lights Electric Power [W](Hourly),AHU4 LIGHTS:Lights Electric Power [W](Hourly),AHU1:Zone Thermostat Air Temperature [C](Hourly),AHU1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU2:Zone Thermostat Air Temperature [C](Hourly),AHU2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU3:Zone Thermostat Air Temperature [C](Hourly),AHU3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU1 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU2 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU3 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU4 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRFCOOLCAPFT:Performance Curve Output Value [](Hourly) 
 01/29  24:00:00,0,5,0,13,0,65,24.59131958,25.56,23.85739202,25.56,22.94664762,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  01:00:00,0,6,0,10,0,65,24.42238602,25.56,23.72752387,25.56,22.72094087,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  02:00:00,0,6,0,15,0,65,24.24386752,25.56,23.60742518,25.56,22.48222307,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  03:00:00,0,6,0,13,0,65,24.09148404,25.56,23.54346161,25.56,22.28769194,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  04:00:00,0,6,0,14,0,65,23.87995767,25.56,23.41149213,25.56,22.02883633,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  05:00:00,0,6,0,14,0,65,23.74664975,25.56,23.33952228,25.56,21.88171989,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  06:00:00,0,6,0,14,0,65,23.66562431,25.56,23.28521425,25.56,21.80054525,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  07:00:00,0,6,0,15,0,65,23.6802134,25.56,23.31525858,25.56,21.83527947,25.56,25.56,0,0,0,0,0,0,0.587006425
 01/30  08:00:00,0,6,198,104,183,65,22.22271351,22.22,22.22221806,22.22,22.16369303,22.22,22.22,1390.098559,765.8896545,0,1397.543365,4500.319318,0.163251322,0.609633341
 01/30  09:00:00,0,6,215,808,267,65,22.02047503,22.22,22.65495442,22.22,21.55688308,22.22,22.22,21.07325508,347.7843663,0,397.2650441,991.9175609,4.88E-02,0.635837505
 01/30  10:00:00,0,6,214,838,301,65,22.22131383,22.22,22.22092022,22.22,22.18434894,22.22,22.22,1128.043843,908.7884523,883.4435751,1005.714642,5308.166035,0.170776376,0.61309182
 01/30  11:00:00,0,6,196,834,289,65,22.22193331,22.22,22.22136295,22.22,22.22082819,22.22,22.22,2435.746156,1980.140097,2729.971975,885.8587147,9446.418369,0.281556698,0.619382414
 01/30  12:00:00,0,6,223,861,352,65,22.22225592,22.22,22.22164181,22.22,22.22163475,22.22,22.22,3609.85908,3173.739866,3801.279718,850.7787415,12863.54896,0.384185425,0.618160695
 01/30  13:00:00,0,6,223,843,281,65,22.22239984,22.22,22.22178364,22.22,22.22179533,22.22,22.22,4738.365268,4042.67957,4453.029494,841.7503606,15513.94678,0.463833392,0.617471204
 01/30  14:00:00,0,6,202,854,300,65,22.22283746,22.22,22.22211862,22.22,22.22215469,22.22,22.22,5346.715374,4165.574974,4563.897258,844.5502525,16362.13395,0.49116197,0.615007952
 01/30  15:00:00,0,6,205,940,329,65,22.22314258,22.22,22.22236713,22.22,22.22240438,22.22,22.22,5281.508545,4129.749619,4191.336615,848.4243656,15890.59509,0.48666667,0.602785256
