1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
‘ddd YYYY-MM-DD HH:MM’,Lights AHU1,Lights AHU2,Lights AHU3,Lights AHU4,Plugs AHU1,Plugs AHU2,Plugs AHU3,Plugs AHU4,Ext Lights,Int ATMs,Ext ATMs,Water Heater,Big Ass Fan,Transfer Fan,Exhaust Fan
Sun 2015-01-11 20:00,0,0,0,65,83,383,167,694,3315,504,242,0,0,4,0
Sun 2015-01-11 21:00,27,152,48,65,83,371,164,695,3238,504,232,0,0,3,0
Sun 2015-01-11 22:00,0,0,0,65,83,353,164,699,3109,500,234,0,0,4,0
Sun 2015-01-11 23:00,0,0,0,65,83,382,164,695,2898,498,229,0,1,4,0
Mon 2015-01-12 00:00,0,3,0,65,83,405,166,695,2824,497,232,0,0,4,0
Mon 2015-01-12 01:00,0,0,0,65,83,482,164,695,2633,498,230,0,0,4,0
Mon 2015-01-12 02:00,0,0,0,65,83,412,164,696,2600,498,231,0,0,4,0
Mon 2015-01-12 03:00,0,0,0,66,83,449,164,695,2603,497,228,0,0,4,0
Mon 2015-01-12 04:00,0,0,0,65,83,449,164,691,2637,497,226,0,1,3,0
Mon 2015-01-12 05:00,0,0,0,65,83,410,164,691,2762,498,231,10,0,4,0
Mon 2015-01-12 06:00,0,0,0,65,83,450,164,690,3103,501,230,0,0,4,0
Mon 2015-01-12 07:00,156,47,174,65,83,1009,164,699,3138,506,235,16,0,4,0
Mon 2015-01-12 08:00,217,915,343,65,118,1087,210,701,85,506,264,2144,74,3,177
Mon 2015-01-12 09:00,180,939,360,65,177,1237,243,699,61,504,326,10,71,4,177
Mon 2015-01-12 10:00,164,912,360,65,192,1128,240,696,61,507,242,0,72,4,178
Mon 2015-01-12 11:00,165,880,347,65,173,1279,232,698,61,508,264,540,73,4,179
Mon 2015-01-12 12:00,165,950,284,65,144,1279,239,697,1258,506,273,0,71,4,178
Mon 2015-01-12 13:00,165,937,358,65,170,1166,237,697,61,510,306,900,71,4,178
Mon 2015-01-12 14:00,165,918,346,65,191,1094,227,695,61,506,287,0,72,4,178
Mon 2015-01-12 15:00,159,938,309,65,180,1220,230,696,61,518,292,520,72,4,178
Mon 2015-01-12 16:00,165,942,353,65,178,1082,245,694,61,513,276,0,70,3,179
Mon 2015-01-12 17:00,166,891,356,65,140,1038,253,693,2729,511,292,0,71,4,177
Mon 2015-01-12 18:00,222,953,359,65,146,1141,201,694,3413,515,235,0,1,4,2
Mon 2015-01-12 19:00,165,657,222,65,136,475,166,690,3319,505,230,0,0,4,0
Mon 2015-01-12 20:00,66,110,72,65,100,374,169,688,3334,512,233,0,0,4,0
Mon 2015-01-12 21:00,33,278,42,65,84,397,167,688,3196,504,231,0,1,4,0
Mon 2015-01-12 22:00,0,151,0,65,84,370,166,688,2967,497,224,0,0,3,0
Mon 2015-01-12 23:00,0,148,0,65,84,371,166,687,2877,497,224,10,0,4,0
